offset,IA,IB,IC,IN,VA,VB,VC,VN
0,1408602,1406652,1409902,1406652,12863717,12867906,12856385,12776786
1,1387151,1385851,1388452,1385851,12676239,12681476,12668907,12591402
2,1315649,1313699,1316949,1313699,12018495,12022684,12011163,11935753
3,1187594,1185644,1188894,1185644,10849637,10852779,10842305,10775274
4,1019888,1019238,1021188,1018588,9323629,9325723,9315250,9259739
5,814480,813830,815130,812530,7448848,7450943,7442564,7398575
6,566821,566171,568121,565521,5187590,5187590,5180259,5151980
7,308111,308111,309411,307461,2834165,2833118,2827881,2815312
8,39001,39651,39651,38351,376003,372861,370766,372861
9,-245710,-243760,-244410,-246360,-2219364,-2224600,-2225648,-2205748
10,-507670,-505719,-506369,-507670,-4605257,-4612589,-4610494,-4574884
11,-761829,-759229,-760529,-761829,-6928309,-6935641,-6933546,-6881178
12,-975037,-972437,-974387,-975037,-8873263,-8881642,-8878500,-8813564
13,-1152494,-1148594,-1150544,-1152494,-10493534,-10502961,-10497724,-10421266
14,-1291599,-1288349,-1290949,-1292249,-11772365,-11781791,-11775507,-11691718
15,-1376102,-1371552,-1374802,-1376102,-12539035,-12550556,-12544272,-12454199
16,-1409903,-1405353,-1407953,-1409903,-12843818,-12854292,-12848007,-12756887
17,-1387152,-1383902,-1386502,-1387802,-12651103,-12661577,-12654245,-12565219
18,-1313700,-1310450,-1313050,-1314350,-11981838,-11993359,-11986027,-11900143
19,-1192145,-1188895,-1190845,-1192145,-10869538,-10878964,-10874775,-10796222
20,-1016639,-1013388,-1015339,-1017289,-9264977,-9273356,-9269167,-9201088
21,-809931,-807331,-809281,-810581,-7387055,-7394386,-7392291,-7336781
22,-573972,-572022,-572672,-574622,-5233675,-5238912,-5238912,-5197018
23,-302912,-301612,-301612,-303562,-2761898,-2766087,-2768182,-2743045
24,-33802,-33152,-33152,-35102,-301641,-304783,-306878,-299546
25,237258,237908,238558,236608,2169089,2166994,2163852,2154426
26,512219,512869,513519,511569,4674382,4674382,4667051,4642961
27,754678,754028,755328,752728,6887461,6887461,6880130,6839283
28,968536,967886,970486,967886,8841841,8843936,8834510,8782142
29,1154443,1153143,1156393,1153143,10542760,10544854,10534381,10470491
30,1287698,1286398,1289648,1285748,11760843,11763985,11752464,11681244
31,1372851,1371551,1374151,1371551,12542176,12547413,12534845,12458387
32,1407952,1406652,1409902,1407302,12861622,12865812,12854291,12774691
33,1387801,1385851,1388452,1385851,12674144,12678333,12666812,12588260
34,1315649,1313699,1316949,1314349,12023731,12026873,12015352,11940990
35,1187594,1185644,1188244,1186294,10851732,10853826,10844400,10778416
36,1020538,1019238,1021838,1018588,9326771,9328865,9319439,9263929
37,814480,813830,815780,813830,7456180,7457227,7449895,7405906
38,566821,566821,568121,566171,5193875,5192827,5186543,5158264
39,308761,308761,310061,307461,2840449,2838354,2834165,2820549
40,26000,26650,27301,24700,256604,252414,250319,254509
41,-245060,-243760,-243760,-245060,-2213079,-2217269,-2218316,-2198416
42,-507019,-505069,-505719,-507670,-4601068,-4607352,-4606305,-4570694
43,-761179,-758579,-759879,-761829,-6924120,-6931452,-6929357,-6876989
44,-975037,-971787,-973737,-975037,-8870121,-8879547,-8875358,-8810421
45,-1151844,-1148594,-1150544,-1152494,-10491440,-10500866,-10496677,-10418124
46,-1291599,-1287699,-1290299,-1292249,-11768176,-11779697,-11773413,-11689623
47,-1376102,-1371552,-1374152,-1375452,-12540083,-12550556,-12545319,-12455246
48,-1409253,-1405353,-1408603,-1409253,-12845913,-12855339,-12850102,-12757934
49,-1387802,-1383902,-1386502,-1387802,-12650056,-12661577,-12655293,-12564172
50,-1314350,-1310450,-1313050,-1314350,-11988122,-11998596,-11992311,-11905380
51,-1192795,-1188895,-1190845,-1192795,-10873727,-10883154,-10877917,-10799365
52,-1016639,-1014689,-1015989,-1017289,-9269167,-9277546,-9273356,-9206325
53,-810581,-807981,-809281,-810581,-7395433,-7401718,-7399623,-7345160
54,-574622,-572672,-573322,-575272,-5237865,-5243102,-5242054,-5201207
55,-303562,-301612,-302262,-303562,-2768182,-2773419,-2774466,-2749329
56,-34452,-33152,-33152,-35102,-308973,-312115,-315257,-306878
57,237258,237258,238558,235958,2163852,2162805,2158615,2149189
58,511569,512219,513519,510919,4671240,4671240,4666003,4639819
59,754028,753378,755328,752728,6882224,6883272,6874893,6836140
60,968536,967236,969836,967886,8838699,8840794,8832415,8779000
61,1154443,1153143,1156393,1153143,10537523,10541712,10530191,10466302
62,1287698,1285748,1288998,1286398,11757701,11761891,11750370,11679149
63,1373501,1371551,1374151,1371551,12540082,12545318,12532750,12456292
64,1408602,1406652,1409902,1406652,12861622,12866859,12853243,12773644
65,1387801,1385851,1389102,1386501,12677286,12681476,12669955,12590355
66,1315649,1314349,1316949,1314349,12023731,12026873,12015352,11939942
67,1188244,1186294,1189544,1186294,10853826,10855921,10846495,10780511
68,1020538,1019888,1022488,1019888,9330960,9332007,9323629,9266024
69,804080,803430,805380,802780,7357727,7357727,7350396,7306407
70,566821,566821,568771,566821,5198064,5198064,5190733,5161406
71,308761,309411,310711,308111,2845686,2843591,2838354,2825786
72,26000,26650,27951,26000,261840,257651,254509,259746
73,-245060,-243110,-243110,-245060,-2209937,-2214127,-2215174,-2194227
74,-506369,-504419,-505069,-507019,-4596878,-4604210,-4603163,-4566505
75,-760529,-758579,-759229,-760529,-6918883,-6926215,-6924120,-6871752
76,-974387,-971787,-973087,-974387,-8868026,-8876405,-8873263,-8808327
77,-1151844,-1148594,-1150544,-1151844,-10487250,-10496677,-10492487,-10414982
78,-1291599,-1288349,-1290299,-1291599,-11768176,-11778649,-11771318,-11688576
79,-1375452,-1372202,-1374802,-1375452,-12539035,-12548461,-12543225,-12453151
80,-1409903,-1406003,-1408603,-1409253,-12845913,-12855339,-12849055,-12757934
81,-1387802,-1383902,-1386502,-1387802,-12651103,-12660529,-12654245,-12564172
82,-1315000,-1311100,-1313700,-1315000,-11986027,-11996501,-11990217,-11903286
83,-1192795,-1189545,-1191495,-1192795,-10876869,-10886296,-10881059,-10802507
84,-1017939,-1014689,-1015989,-1017289,-9275451,-9282782,-9279640,-9211562
85,-811231,-808631,-809931,-811231,-7395433,-7401718,-7399623,-7344113
86,-575272,-573322,-573972,-575922,-5242054,-5248339,-5247291,-5206444
87,-304212,-302262,-302912,-304862,-2773419,-2777608,-2778656,-2755614
88,-34452,-33802,-33152,-35752,-310020,-312115,-316304,-307925
89,235958,236608,237908,235958,2158615,2157568,2152331,2143952
90,510919,511569,512869,510269,4666003,4666003,4659719,4633535
91,753378,752728,754678,751428,6880130,6881177,6872798,6832998
92,967886,967236,969836,966586,8831368,8834510,8825084,8772715
93,1153793,1153143,1155093,1152493,10536475,10539617,10529144,10466302
94,1287048,1285748,1288998,1285748,11757701,11761891,11750370,11678101
95,1376101,1373501,1377401,1374151,12569408,12572550,12561029,12482477
96,1408602,1406652,1409902,1407302,12860575,12865812,12852196,12773644
97,1387801,1385851,1389102,1386501,12678333,12682523,12671002,12592450
98,1311099,1309149,1312399,1309149,11980789,11986026,11973458,11899095
99,1188244,1186294,1189544,1186294,10858016,10862205,10850684,10784700
100,1020538,1019238,1022488,1019238,9335150,9337244,9326771,9270213
101,804080,803430,805380,803430,7361917,7361917,7354585,7310596
102,568121,567471,569421,566821,5201206,5200159,5193875,5165596
103,309411,310061,310711,308761,2847781,2845686,2840449,2827881
104,27301,27951,27951,26000,266030,262888,260793,262888
105,-243760,-242460,-242460,-244410,-2203653,-2208890,-2209937,-2188990
106,-506369,-504419,-505069,-507019,-4591642,-4598973,-4598973,-4562315
107,-760529,-757929,-759229,-760529,-6914694,-6923073,-6920978,-6868610
108,-974387,-971137,-973087,-974387,-8862790,-8872216,-8868026,-8803090
